q_scale,recovery,norm_mae,signed_end_bias,abs_end_bias,score
0.6,2.0,0.21133383299767194,-0.13609197392721323,0.26449941100889846,0.4758332440065704
1.0,2.0,0.2110748088361142,-0.15130878737595777,0.26724358791973685,0.4783183967558511
0.6,1.0,0.21822110051244673,-0.1489326210459578,0.27565351872896215,0.49387461924140885
1.6,2.0,0.21822935990484868,-0.17894319756439891,0.28508468747603855,0.5033140473808873
1.0,1.0,0.22099226713071296,-0.1689784731396712,0.28358770461896304,0.504579971749676
0.6,0.35,0.22649719922724115,-0.16352286195235397,0.2887134221083323,0.5152106213355734
1.0,0.35,0.2316557649164541,-0.18804546183963122,0.30077159056240754,0.5324273554788617
1.6,1.0,0.23113600494315883,-0.2025055031190626,0.3075442767227929,0.5386802816659517
2.5,2.0,0.23828504191081823,-0.22759092598009228,0.3269823978185288,0.565267439729347
1.6,0.35,0.24933333543168854,-0.23103773748442732,0.3408172773604895,0.5901506127921781
2.5,1.0,0.2558299178249096,-0.25980155332163946,0.35813025233679224,0.6139601701617019
2.5,0.35,0.2799095923081124,-0.30407816400876486,0.407247554310774,0.6871571466188864
